director_id,movie_id,person_id
1,1,6567
2,2,-
3,3,-
4,4,-
5,5,7046
6,6,-
7,7,11207
8,8,-
9,9,-
,,-
11,11,17631
12,12,-
13,13,3589
14,14,-
15,15,-
16,16,-
17,17,-
18,18,-
19,19,-
,,-
21,21,3589
22,22,-
23,23,-
24,24,-
25,25,-
26,26,2555
27,27,-
28,28,-
29,29,-
,,-
31,31,3589
32,32,-
33,33,-
34,34,-
35,35,-
36,436,-
37,1362,-
38,36,-
39,37,-
,38,-
41,39,-
42,,-
43,41,-
44,42,-
45,43,-
46,44,-
47,45,-
48,46,-
49,47,-
,48,-
51,49,-
52,,1158
53,51,-
54,52,-
55,53,-
56,54,-
57,55,-
58,56,-
59,57,18018
,57,15743
61,58,-
62,59,-
63,,-
64,61,-
65,62,-
66,63,-
67,64,9775
68,65,11098
69,66,-
,67,-
71,68,-
72,69,-
73,,-
74,71,-
75,72,-
76,73,-
77,74,1909
78,74,17643
79,75,-
,76,-
81,77,-
82,78,7
83,79,-
84,,-
85,81,-
86,82,-
87,83,-
88,84,2603
89,84,15169
,84,13906
91,85,-
92,86,2856
93,87,-
94,88,-
95,89,-
96,,-
97,91,-
98,35,136
99,436,136
1,1362,136
101,93,-
102,94,-
103,95,-
104,96,1428
105,97,100
106,98,-
107,99,-
108,1,-
109,101,-
1,102,-
111,103,-
112,104,-
113,105,-
114,106,-
115,107,-
116,108,-
117,109,-
118,1,-
119,111,-
1,112,5379
121,113,-
122,114,-
123,115,-
124,116,-
125,117,-
126,118,-
127,119,-
128,1,-
129,121,-
1,122,-
131,123,-
132,124,-
133,125,-
134,126,944
135,127,-
136,128,-
137,129,2856
138,1,-
139,14,-
1,131,-
141,132,-
142,133,14786
143,134,-
144,135,-
145,136,-
146,137,-
147,138,20916
148,139,-
149,1,-
1,1106,-
151,141,4305
152,142,-
153,143,-
154,144,4222
155,145,5802
156,146,5573
157,147,-
158,148,-
159,149,10429
1,1,-
161,151,-
162,152,-
163,153,-
164,154,-
165,155,-
166,156,381
167,157,3615
168,158,9046
169,159,-
1,1,1158
171,161,-
172,162,20219
173,163,-
174,164,-
175,165,-
176,166,2122
177,167,-
178,168,15256
179,168,19135
1,169,-
181,1,-
182,171,121
183,172,5379
184,173,5
185,174,-
186,175,-
187,176,4439
188,177,-
189,178,-
1,3,-
191,179,-
192,1,10908
193,181,-
194,182,10411
195,183,-
196,184,13454
197,185,-
198,186,-
199,187,15626
2,188,-
201,189,-
202,1,5165
203,191,-
204,192,14786
205,193,-
206,194,5379
207,195,38
208,196,-
209,197,6147
2,198,5802
211,199,4782
212,2,17129
213,201,17958
214,202,-
215,203,5451
216,203,194
217,204,-
218,205,5165
219,206,14786
2,207,107
221,208,-
222,209,-
223,2,-
224,211,14533
225,212,-
226,213,-
227,214,-
228,215,7874
229,216,-
2,217,1628
231,218,1708
232,219,-
233,2,19465
234,221,2842
235,222,-
236,223,11024
237,224,-
238,225,16691
239,226,8205
2,227,11635
241,227,5519
242,228,16446
243,229,-
244,2,-
245,231,-
246,232,15651
247,233,-
248,234,-
249,235,-
2,236,-
251,1452,-
252,237,4344
253,238,13458
254,239,7403
255,239,7221
256,2,-
257,241,7161
258,242,-
259,243,-
2,244,-
261,245,1428
262,246,11544
263,247,-
264,248,-
265,1157,-
266,249,-
267,2,-
268,251,-
269,252,21011
2,252,5074
271,253,-
272,254,-
273,255,-
274,5,-
275,256,21064
276,257,-
277,258,20359
278,259,-
279,2,-
2,261,5379
281,262,-
282,263,10942
283,264,-
284,265,9944
285,266,-
286,267,-
287,268,1647
288,269,6569
289,2,-
2,271,-
291,272,5271
292,272,17218
293,273,-
294,274,-
295,275,-
296,276,-
297,277,5208
298,278,-
299,279,-
3,2,-
301,281,-
302,282,-
303,283,-
304,284,1158
305,285,-
306,286,923
307,287,5096
308,288,1873
309,289,-
3,2,1111
311,291,-
312,292,160
