info_id,movie_id,runtime,rating,votes_count,overview
1,1,121.0,6.1,21062,A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.
2,2,25.0,5.0,17870,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.
3,3,44.0,8.2,885805,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
4,4,23.0,9.2,414849,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
5,5,,,,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse."
6,6,50.0,7.6,25858,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.
7,7,110.0,6.8,5283,A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.
8,8,53.0,8.6,665387,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers."
9,9,30.0,7.9,34530,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood."
10,10,44.0,7.4,27279,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds."
11,11,114.0,6.0,17989,Three generations of women fight back against those who could take everything from them.
12,12,42.0,8.1,264222,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
13,13,107.0,6.2,50148,A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.
14,14,,5.4,12172,A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.
15,15,60.0,8.0,286488,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp."
16,16,41.0,7.5,266258,A drama centered on the personal and professional lives of five surgical interns and their supervisors.
17,17,49.0,9.4,1552311,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.
18,18,41.0,8.1,70871,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital."
19,19,30.0,8.3,71544,"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence."
20,20,51.0,8.7,885856,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
21,21,109.0,6.8,36634,"Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival."
22,22,22.0,8.9,880918,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.
23,23,43.0,7.6,320264,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City."
24,24,60.0,8.8,393414,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
25,25,,,,"Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series."
26,26,136.0,5.0,4681,A story about a heroic fireman who worked as one of Chernobyl liquidators.
27,27,44.0,8.5,459913,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
28,28,46.0,8.8,347857,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico."
29,29,44.0,8.4,404273,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth."
30,30,43.0,8.0,213522,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her."
31,31,114.0,6.7,27447,The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.
32,32,60.0,8.2,26926,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities."
33,33,22.0,8.4,248583,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct."
34,34,60.0,7.7,125619,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs."
