"director","gross"
"Zackary Adler",0
"Alex Kurtzman",12.41
"Brendan Toller",0.04
"William Friedkin",0.02
"Guy Hamilton",4.36
"Tony McNamara",0
"Jennifer Yuh Nelson",143.53
"Olivier Megaton",89.26
"Nicholas D. Wrathall",0.13
"Franklin J. Schaffner",33.4
"Leslie Small",32.24
"Aaron Lieber",0.59
"Karyn Kusama",0.23
"Jon M. Chu",65.08
"Alex Kurtzman",80.1
"Elite Zexer",0.08
"Angus MacLane",486.3
"Simon West",85.02
"Mamoru Hosoda",0.81
"Lars Klevberg",29.21
"Joe Wright",35.09
"Ryan White",0.14
"Brian Fee",152.9
"Judd Apatow",148.73
"Peter Jackson",377.85
"Bill Condon",218.97
"Don Coscarelli",0.14
"Dax Shepard",18.6
"Ti West",0.02
"Jake Kasdan",404.52
"Henry Hobson",0.19
"Jack Kinney",1.6
"Vlad Yudin",0.85
"Kris Pearn",119.79
"Lance Daly",0
"Tony Stone",0.02
"Kelly Nyks",0.13
"Yudai Yamaguchi",0.02
"Shane Black",36.26
"Frant Gwo",5.88
"Taylor Sheridan",33.8
"Thomas Cappelen Malling",0.02
"Dennis Hopper",41.73
"Joe Pearson",0.01
"Olivier Megaton",139.85
"Brad Furman",15.43
"David Schisgall",0.01
"David Koepp",20.28
"John Curran",8.06
"Allen Hughes",19.7
"Lilibet Foster",0.02
"Rob Epstein",0.62
"Sheldon Candis",0.14
"Ana Lily Amirpour",0.18
"Hélène Cattet",0.02
"Steven Soderbergh",75.66
"Hiromasa Yonebayashi",0.18
"B. Unnikrishnan",0.02
"Andrzej Bartkowiak",28.21
"Jennifer Lee",400.74
"Adrian Garcia Bogliano",0.02
"Larry Charles",59.65
"Gary Ross",140.22
"Deran Sarafian",16.85
"Tim Story",32.24
"Len Wiseman",58.88
"John Madden",0.3
"Kazuya Murata",0.18
"Jon M. Chu",58.02
"Masaaki Yuasa",0.11
"Karyn Kusama",0.03
"Ben Affleck",10.38
"Joel Allen Schroeder",0.01
"Crayton Robey",0.03
"Richard Glatzer",0.27
"Hayao Miyazaki",10.06
"Matt Johnson",0.06
"Fede Alvarez",89.22
"Jon Siskel",0.04
"Ryan M. Kennedy",0.11
